"행정구역","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_0~9세","2023년10월_계_10~19세","2023년10월_계_20~29세","2023년10월_계_30~39세","2023년10월_계_40~49세","2023년10월_계_50~59세","2023년10월_계_60~69세","2023년10월_계_70~79세","2023년10월_계_80~89세","2023년10월_계_90~99세","2023년10월_계_100세 이상"
"서울특별시  (1100000000)","9,400,249","9,400,249","518,510","736,846","1,364,332","1,428,212","1,426,244","1,489,967","1,318,049","734,458","337,391","44,769","1,471"
"서울특별시 종로구 (1111000000)","139,606","139,606","6,007","9,781","21,571","19,312","19,264","23,870","20,697","11,480","6,634","954","36"
"서울특별시 종로구 청운효자동(1111051500)","11,345","11,345","605","1,088","1,383","1,522","1,900","1,903","1,412","897","552","80","3"
"서울특별시 종로구 사직동(1111053000)","9,016","9,016","467","659","1,056","1,412","1,415","1,475","1,245","694","501","87","5"
"서울특별시 종로구 삼청동(1111054000)","2,246","2,246","87","161","239","281","321","348","384","247","149","27","2"
"서울특별시 종로구 부암동(1111055000)","9,125","9,125","386","835","1,113","1,178","1,399","1,623","1,345","741","424","77","4"
"서울특별시 종로구 평창동(1111056000)","17,415","17,415","1,017","1,518","2,038","2,061","2,499","3,143","2,790","1,389","813","138","9"
"서울특별시 종로구 무악동(1111057000)","7,990","7,990","556","923","823","841","1,300","1,422","1,099","600","374","48","4"
"서울특별시 종로구 교남동(1111058000)","9,699","9,699","741","779","1,121","1,431","1,686","1,629","1,191","686","388","47","0"
"서울특별시 종로구 가회동(1111060000)","3,866","3,866","150","312","416","498","629","687","547","378","217","32","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,697","6,697","167","206","952","971","835","1,130","1,323","693","373","45","2"
"서울특별시 종로구 종로5.6가동(1111063000)","5,396","5,396","159","202","1,194","886","571","860","786","469","234","35","0"
"서울특별시 종로구 이화동(1111064000)","6,931","6,931","177","316","1,512","1,228","797","1,004","937","574","340","46","0"
"서울특별시 종로구 혜화동(1111065000)","15,919","15,919","524","1,213","4,313","2,005","1,936","2,302","1,715","1,082","720","103","6"
"서울특별시 종로구 창신제1동(1111067000)","4,537","4,537","110","175","524","614","500","844","1,002","491","254","23","0"
"서울특별시 종로구 창신제2동(1111068000)","7,528","7,528","160","337","969","883","815","1,674","1,478","776","387","49","0"
"서울특별시 종로구 창신제3동(1111069000)","6,377","6,377","308","416","832","915","809","1,172","1,086","512","282","45","0"
"서울특별시 종로구 숭인제1동(1111070000)","5,770","5,770","202","335","710","803","809","1,084","981","525","282","38","1"
